Brand,Interval_Week,Sample_Count,Avg_MPI,Sigma_Randomness,Avg_Heat
Samsung,133,43.0,0.4194121334788411,0.2101563107886949,0.12328014648411163
Samsung,134,45.0,0.36956113307840294,0.2602887153762449,0.22403658669855858
Samsung,135,37.0,0.4331369973920487,0.25129545119880176,0.026603885800451834
Samsung,136,42.0,0.41143889636510894,0.23144918958929797,0.11062762877416044
Samsung,137,28.0,0.4167491743906534,0.21436777361971524,0.15892263062830483
Samsung,138,27.0,0.4315432486710725,0.19402906477492896,0.15554849610284524
Samsung,139,25.0,0.45271052926778793,0.24926767668241379,0.19637205719947814
Samsung,140,23.0,0.5105387461574181,0.1794042458712359,0.27315352047267166
Samsung,141,24.0,0.4738281471654773,0.16963125363347634,0.21501733843858042
Samsung,142,22.0,0.48053770715540106,0.17768128359836705,0.11895038204436953
Samsung,143,24.0,0.37349953409284353,0.278217370844686,0.05203909946916003
Samsung,144,26.0,0.42856680716459566,0.24220080934226243,0.05414687999739097
Samsung,145,29.0,0.38563866788071804,0.27163793729202884,0.2702181653986717
Samsung,146,20.0,0.46022164076566696,0.17562211097577976,0.31766256745904686
Samsung,147,19.0,0.339216481306051,0.23870003719263425,0.08180635334237628
Samsung,148,44.0,0.46328682435507124,0.2052145660998373,0.13602940348738973
Samsung,149,73.0,0.4128190121894115,0.2313710933836275,0.22209742231524154
Samsung,150,36.0,0.46206875176479417,0.18654236619695455,0.15741103566769096
Samsung,151,33.0,0.447023693472147,0.21884025144993693,0.004556212912906299
Samsung,152,28.0,0.4142040084116161,0.23405793568124647,-0.04958186937229976
Samsung,153,27.0,0.42175178105632466,0.2338769251247503,0.14757918152544233
Samsung,154,29.0,0.44029494143765546,0.24665766565988678,-0.1570996251599542
Samsung,155,16.0,0.508011057972908,0.16711707721673474,0.018475308315828443
Samsung,156,15.0,0.44457499831914904,0.22178395823576771,0.2595338632663091
Samsung,157,23.0,0.5249670497749163,0.14688780327981155,0.036773152811371765
Samsung,158,15.0,0.5017904967069626,0.19530873493670328,0.2688062055657307
Samsung,159,12.0,0.5379988724986712,0.1758709612218281,0.07360978797078134
Samsung,160,12.0,0.5236609131097794,0.18264105694204957,0.10276212201764184
Samsung,161,11.0,0.47062036395072937,0.24092080302743732,0.18192584338513287
Samsung,162,2.0,0.2505785785615444,0.24084079538537057,0.1407853364944458
Samsung,163,9.0,0.346534579164452,0.23435683943781113,0.2301713021265136
Samsung,164,5.0,0.4479437157511711,0.2099977478523095,0.19486147314310073
Samsung,165,7.0,0.3758581078478268,0.2003159290295389,0.39213223702141214
Samsung,166,3.0,0.4508637984593709,0.21535669683107062,0.2882050772507986
Samsung,167,2.0,0.5328375846147537,0.12898728992737712,0.5286201760172844
Samsung,168,8.0,0.5372469499707222,0.0886852410034365,0.1653716100845486
Samsung,169,4.0,0.4154540188610554,0.170245897479925,0.5301555469632149
Samsung,170,1.0,0.5874614715576172,,0.0626368597149849
Samsung,171,3.0,0.38941486676534015,0.3379793397172337,0.4042983849843343
Samsung,172,5.0,0.3898754626512527,0.2994986093670068,0.1804811514914036
Samsung,173,3.0,0.30609767387310666,0.2644740210995263,0.2880580524603526
Samsung,174,1.0,0.0,,0.0
Samsung,175,6.0,0.5209015210469564,0.18530500027298463,0.1905048886934916
Samsung,176,10.0,0.29123909771442413,0.3120141986579276,0.4588961459696293
Samsung,177,9.0,0.3272815100434754,0.2697813743233244,0.14673579649792778
Samsung,178,11.0,0.4398900798775933,0.19343092666771403,0.07675430957566608
Samsung,179,9.0,0.49454590678215027,0.17950892064094834,0.3097005660335223
Samsung,180,10.0,0.5354794263839722,0.15988521531162705,-0.04785298556089401
Samsung,181,4.0,0.3870374411344528,0.17006043218194092,0.13125314377248287
Samsung,182,3.0,0.6198018590609232,0.0913978165331454,0.11253843704859413
Samsung,183,2.0,0.4379821717739105,0.05741424935602578,0.5654536634683609
Samsung,184,1.0,0.5801845192909241,,-0.0660163462162017
Samsung,185,6.0,0.4144880610207717,0.23470585066425473,-0.06265528624256454
Samsung,186,4.0,0.09899277612566945,0.07970303907362301,0.45046949572861195
Samsung,187,2.0,0.5493062734603882,0.1880104320050336,0.49744484573602676
Samsung,188,4.0,0.3182569798082113,0.21207502131492761,-0.18989160377532244
Samsung,189,5.0,0.441826656460762,0.15866710630862516,-0.06482554823160172
Samsung,190,1.0,0.4248139858245849,,0.3438364863395691
Samsung,192,2.0,0.6038292348384857,0.026232409247423,0.5726997256278992
Samsung,193,2.0,0.5267549306154251,0.13747895267165502,0.07398889213800434
Samsung,194,4.0,0.5350663885474205,0.10016971410505222,0.0007346253842115298
Samsung,195,1.0,0.4296410977840423,,0.948443591594696
Samsung,198,1.0,0.6258803606033325,,0.3876377940177917
Samsung,200,1.0,0.4745456576347351,,0.0699329376220703
Samsung,202,1.0,0.5350069403648376,,0.0449572093784809
Samsung,203,1.0,0.6033088564872742,,0.052118144929409
Samsung,204,1.0,0.3988631665706634,,-0.0103653296828269
Samsung,206,1.0,0.541481077671051,,0.9644033312797546
Samsung,207,1.0,0.5946524143218994,,-0.9483983516693116
Samsung,208,1.0,0.6356325745582581,,-0.2459381520748138
Vivo,0,1420.0,0.4184714505842454,0.12717100113785207,0.08758821721569124
Vivo,1,627.0,0.41464918522426764,0.1330738899678019,0.13263533347875972
Vivo,2,388.0,0.39522313198420345,0.1429892583845964,0.11765343029071222
Vivo,3,391.0,0.40638657301292774,0.1392685203266094,0.1681927182637822
Vivo,4,313.0,0.4201791504101929,0.12909785799538714,0.08402410122795037
Vivo,5,249.0,0.39779233427748206,0.1293123001254993,0.12192691329971375
Vivo,6,239.0,0.41059590782580513,0.13139282910463337,0.11530931819245906
Vivo,7,217.0,0.3969868264817697,0.13977214484458847,0.16410202630001552
Vivo,8,215.0,0.40199676865581857,0.13216910300274531,0.14442205637000327
Vivo,9,182.0,0.39408966251597793,0.1353780542604898,0.2409184623796206
Vivo,10,182.0,0.399979643390647,0.15263816195810775,0.16666996443214324
Vivo,11,161.0,0.3912712666813446,0.14415311239289486,0.17285885979994114
Vivo,12,147.0,0.4085593529197635,0.14866051580710135,0.13309332341918734
Vivo,13,148.0,0.4128123348377444,0.1281206288354975,0.20377825464851954
Vivo,14,160.0,0.44104323592036965,0.10715646884266965,0.1612381477490999
Vivo,15,144.0,0.3981412388901744,0.13648944931636742,0.1203988787278326
Vivo,16,118.0,0.391283188188859,0.158034221993815,0.07198753826699014
Vivo,17,129.0,0.38933615026952223,0.144667520457946,0.09872346029205378
Vivo,18,109.0,0.4077374251610642,0.14019600413947836,0.1672150837172062
Vivo,19,121.0,0.41232592301550974,0.1415125008780415,0.19506343361759973
Vivo,20,105.0,0.4174302335296358,0.11988430817167196,0.1559133590509494
Vivo,21,144.0,0.3754375040492353,0.15320358095570283,0.19568307380864602
Vivo,22,151.0,0.39869036064144003,0.1375917917638585,0.20348248900907323
Vivo,23,156.0,0.4016377497165918,0.13149194985676402,0.29000517551620036
Vivo,24,122.0,0.40507961886163923,0.15194705129764552,0.2539595030553517
Vivo,25,126.0,0.3719064384728434,0.15292807170070857,0.15872240823412698
Vivo,26,94.0,0.4139237697929778,0.11970197575483905,0.14012682984801048
Vivo,27,96.0,0.3886490061243724,0.15362322304824158,0.1406097672879696
Vivo,28,118.0,0.38929126100709377,0.14389469554571763,0.23052694064454507
Vivo,29,117.0,0.38793214886552757,0.1470372844232792,0.16427828763157892
Vivo,30,125.0,0.4105748940706253,0.1422384380108598,0.08061305090785026
Vivo,31,116.0,0.40930793832602175,0.1373829936156059,0.07924779188209052
Vivo,32,87.0,0.3914496983754738,0.13754139322992856,0.06949377704368925
Vivo,33,99.0,0.40433915551149785,0.1456013461790482,0.2451439302866206
Vivo,34,62.0,0.3476597087743181,0.15731144950904047,0.09615078784765736
